Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2,Annual production
"market for electricity, low voltage",MT,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",MT,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",MT,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",MT,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",MT,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",MT,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",MT,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",MT,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",MT,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",MT,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",MT,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",MT,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",MT,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",MT,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",MT,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",MT,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",MT,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",MT,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",MT,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",MT,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",CA-NB,CAN,156, flat-roof , multi-Si, on roof,,,817.77
"market for electricity, high voltage",CA-NB,CAN,156, flat-roof , single-Si, on roof,,,817.77
"market for electricity, high voltage",CA-NB,CAN,570, open ground , CIS, on open ground,,,1112.28
"market for electricity, high voltage",CA-NB,CAN,570, open ground , CdTe, on open ground,,,1097.81
"market for electricity, high voltage",CA-NB,CAN,570, open ground , micro-Si, on open ground,,,1127.64
"market for electricity, high voltage",CA-NB,CAN,570, open ground , multi-Si, on open ground,,,1127.64
"market for electricity, high voltage",CA-NB,CAN,570, open ground , single-Si, on open ground,,,1127.64
"market for electricity, high voltage",CA-NB,CAN,93, slanted-roof , multi-Si, laminated, integrated, on roof,817.77
"market for electricity, high voltage",CA-NB,CAN,93, slanted-roof , multi-Si, panel, mounted, on roof,817.77
"market for electricity, high voltage",CA-NB,CAN,93, slanted-roof , single-Si, laminated, integrated, on roof,817.77
"market for electricity, high voltage",CA-NB,CAN,93, slanted-roof , single-Si, panel, mounted, on roof,817.77
"market for electricity, high voltage",OM,ME,156, flat-roof , multi-Si, on roof,,,1547.01
"market for electricity, high voltage",OM,ME,156, flat-roof , single-Si, on roof,,,1547.01
"market for electricity, high voltage",OM,ME,570, open ground , CIS, on open ground,,,1794.97
"market for electricity, high voltage",OM,ME,570, open ground , CdTe, on open ground,,,1855.89
"market for electricity, high voltage",OM,ME,570, open ground , micro-Si, on open ground,,,1790.07
"market for electricity, high voltage",OM,ME,570, open ground , multi-Si, on open ground,,,1790.07
"market for electricity, high voltage",OM,ME,570, open ground , single-Si, on open ground,,,1790.07
"market for electricity, high voltage",OM,ME,93, slanted-roof , multi-Si, laminated, integrated, on roof,1547.01
"market for electricity, high voltage",OM,ME,93, slanted-roof , multi-Si, panel, mounted, on roof,1547.01
"market for electricity, high voltage",OM,ME,93, slanted-roof , single-Si, laminated, integrated, on roof,1547.01
"market for electricity, high voltage",OM,ME,93, slanted-roof , single-Si, panel, mounted, on roof,1547.01
"market for electricity, low voltage",BA,CEU,3, slanted-roof , CIS, laminated, integrated, on roof,885.42
"market for electricity, low voltage",BA,CEU,3, slanted-roof , CdTe, panel, mounted, on roof,900.95
"market for electricity, low voltage",BA,CEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , micro-Si, panel, mounted, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, facade , multi-Si, laminated, integrated, at building,742.77
"market for electricity, low voltage",BA,CEU,3, facade , multi-Si, panel, mounted, at building,742.77
"market for electricity, low voltage",BA,CEU,3, facade , single-Si, laminated, integrated, at building,742.77
"market for electricity, low voltage",BA,CEU,3, facade , single-Si, panel, mounted, at building,742.77
"market for electricity, low voltage",BA,CEU,3, flat-roof , multi-Si, on roof,,,891.46
"market for electricity, low voltage",BA,CEU,3, flat-roof , single-Si, on roof,,,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , CIS, panel, mounted, on roof,885.42
"market for electricity, low voltage",BA,CEU,3, slanted-roof , CdTe, laminated, integrated, on roof,900.95
"market for electricity, low voltage",BA,CEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , multi-Si, panel, mounted, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , single-Si, laminated, integrated, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , single-Si, panel, mounted, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , CIS, laminated, integrated, on roof,885.42
"market for electricity, low voltage",BA,CEU,3, slanted-roof , CdTe, panel, mounted, on roof,900.95
"market for electricity, low voltage",BA,CEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , micro-Si, panel, mounted, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, facade , multi-Si, laminated, integrated, at building,742.77
"market for electricity, low voltage",BA,CEU,3, facade , multi-Si, panel, mounted, at building,742.77
"market for electricity, low voltage",BA,CEU,3, facade , single-Si, laminated, integrated, at building,742.77
"market for electricity, low voltage",BA,CEU,3, facade , single-Si, panel, mounted, at building,742.77
"market for electricity, low voltage",BA,CEU,3, flat-roof , multi-Si, on roof,,,891.46
"market for electricity, low voltage",BA,CEU,3, flat-roof , single-Si, on roof,,,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , CIS, panel, mounted, on roof,885.42
"market for electricity, low voltage",BA,CEU,3, slanted-roof , CdTe, laminated, integrated, on roof,900.95
"market for electricity, low voltage",BA,CEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , multi-Si, panel, mounted, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , single-Si, laminated, integrated, on roof,891.46
"market for electricity, low voltage",BA,CEU,3, slanted-roof , single-Si, panel, mounted, on roof,891.46
"market for electricity, high voltage",GT,RCAM,156, flat-roof , multi-Si, on roof,,,1426.29
"market for electricity, high voltage",GT,RCAM,156, flat-roof , single-Si, on roof,,,1426.29
"market for electricity, high voltage",GT,RCAM,570, open ground , CIS, on open ground,,,1560.44
"market for electricity, high voltage",GT,RCAM,570, open ground , CdTe, on open ground,,,1629.95
"market for electricity, high voltage",GT,RCAM,570, open ground , micro-Si, on open ground,,,1569.55
"market for electricity, high voltage",GT,RCAM,570, open ground , multi-Si, on open ground,,,1569.55
"market for electricity, high voltage",GT,RCAM,570, open ground , single-Si, on open ground,,,1569.55
"market for electricity, high voltage",GT,RCAM,93, slanted-roof , multi-Si, laminated, integrated, on roof,1426.29
"market for electricity, high voltage",GT,RCAM,93, slanted-roof , multi-Si, panel, mounted, on roof,1426.29
"market for electricity, high voltage",GT,RCAM,93, slanted-roof , single-Si, laminated, integrated, on roof,1426.29
"market for electricity, high voltage",GT,RCAM,93, slanted-roof , single-Si, panel, mounted, on roof,1426.29
"market for electricity, high voltage",IL,ME,156, flat-roof , multi-Si, on roof,,,1547.01
"market for electricity, high voltage",IL,ME,156, flat-roof , single-Si, on roof,,,1547.01
"market for electricity, high voltage",IL,ME,570, open ground , CIS, on open ground,,,1794.97
"market for electricity, high voltage",IL,ME,570, open ground , CdTe, on open ground,,,1855.89
"market for electricity, high voltage",IL,ME,570, open ground , micro-Si, on open ground,,,1790.07
"market for electricity, high voltage",IL,ME,570, open ground , multi-Si, on open ground,,,1790.07
"market for electricity, high voltage",IL,ME,570, open ground , single-Si, on open ground,,,1790.07
"market for electricity, high voltage",IL,ME,93, slanted-roof , multi-Si, laminated, integrated, on roof,1547.01
"market for electricity, high voltage",IL,ME,93, slanted-roof , multi-Si, panel, mounted, on roof,1547.01
"market for electricity, high voltage",IL,ME,93, slanted-roof , single-Si, laminated, integrated, on roof,1547.01
"market for electricity, high voltage",IL,ME,93, slanted-roof , single-Si, panel, mounted, on roof,1547.01
"market for electricity, low voltage",TW,CHN,3, slanted-roof , CIS, laminated, integrated, on roof,1154.19
"market for electricity, low voltage",TW,CHN,3, slanted-roof , CdTe, panel, mounted, on roof,1162.71
"market for electricity, low voltage",TW,CHN,3, slanted-roof , micro-Si, laminated, integrated, on roof,1145.64
"market for electricity, low voltage",TW,CHN,3, slanted-roof , micro-Si, panel, mounted, on roof,1145.64
"market for electricity, low voltage",TW,CHN,3, facade , multi-Si, laminated, integrated, at building,884.83
"market for electricity, low voltage",TW,CHN,3, facade , multi-Si, panel, mounted, at building,884.83
"market for electricity, low voltage",TW,CHN,3, facade , single-Si, laminated, integrated, at building,884.83
"market for electricity, low voltage",TW,CHN,3, facade , single-Si, panel, mounted, at building,884.83
"market for electricity, low voltage",TW,CHN,3, flat-roof , multi-Si, on roof,,,1145.64
"market for electricity, low voltage",TW,CHN,3, flat-roof , single-Si, on roof,,,1145.64
"market for electricity, low voltage",TW,CHN,3, slanted-roof , CIS, panel, mounted, on roof,1154.19
"market for electricity, low voltage",TW,CHN,3, slanted-roof , CdTe, laminated, integrated, on roof,1162.71
"market for electricity, low voltage",TW,CHN,3, slanted-roof , multi-Si, laminated, integrated, on roof,1145.64
"market for electricity, low voltage",TW,CHN,3, slanted-roof , multi-Si, panel, mounted, on roof,1145.64
"market for electricity, low voltage",TW,CHN,3, slanted-roof , single-Si, laminated, integrated, on roof,1145.64
"market for electricity, low voltage",TW,CHN,3, slanted-roof , single-Si, panel, mounted, on roof,1145.64
"market for electricity, high voltage",SG,SEAS,156, flat-roof , multi-Si, on roof,,,1279.36
"market for electricity, high voltage",SG,SEAS,156, flat-roof , single-Si, on roof,,,1279.36
"market for electricity, high voltage",SG,SEAS,570, open ground , CIS, on open ground,,,1327.32
"market for electricity, high voltage",SG,SEAS,570, open ground , CdTe, on open ground,,,1450.47
"market for electricity, high voltage",SG,SEAS,570, open ground , micro-Si, on open ground,,,1336.15
"market for electricity, high voltage",SG,SEAS,570, open ground , multi-Si, on open ground,,,1336.15
"market for electricity, high voltage",SG,SEAS,570, open ground , single-Si, on open ground,,,1336.15
"market for electricity, high voltage",SG,SEAS,93, slanted-roof , multi-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",SG,SEAS,93, slanted-roof , multi-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",SG,SEAS,93, slanted-roof , single-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",SG,SEAS,93, slanted-roof , single-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",SG,SEAS,156, flat-roof , multi-Si, on roof,,,1279.36
"market for electricity, high voltage",SG,SEAS,156, flat-roof , single-Si, on roof,,,1279.36
"market for electricity, high voltage",SG,SEAS,570, open ground , CIS, on open ground,,,1327.32
"market for electricity, high voltage",SG,SEAS,570, open ground , CdTe, on open ground,,,1450.47
"market for electricity, high voltage",SG,SEAS,570, open ground , micro-Si, on open ground,,,1336.15
"market for electricity, high voltage",SG,SEAS,570, open ground , multi-Si, on open ground,,,1336.15
"market for electricity, high voltage",SG,SEAS,570, open ground , single-Si, on open ground,,,1336.15
"market for electricity, high voltage",SG,SEAS,93, slanted-roof , multi-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",SG,SEAS,93, slanted-roof , multi-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",SG,SEAS,93, slanted-roof , single-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",SG,SEAS,93, slanted-roof , single-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",CA-QC,CAN,156, flat-roof , multi-Si, on roof,,,817.77
"market for electricity, high voltage",CA-QC,CAN,156, flat-roof , single-Si, on roof,,,817.77
"market for electricity, high voltage",CA-QC,CAN,570, open ground , CIS, on open ground,,,1112.28
"market for electricity, high voltage",CA-QC,CAN,570, open ground , CdTe, on open ground,,,1097.81
"market for electricity, high voltage",CA-QC,CAN,570, open ground , micro-Si, on open ground,,,1127.64
"market for electricity, high voltage",CA-QC,CAN,570, open ground , multi-Si, on open ground,,,1127.64
"market for electricity, high voltage",CA-QC,CAN,570, open ground , single-Si, on open ground,,,1127.64
"market for electricity, high voltage",CA-QC,CAN,93, slanted-roof , multi-Si, laminated, integrated, on roof,817.77
"market for electricity, high voltage",CA-QC,CAN,93, slanted-roof , multi-Si, panel, mounted, on roof,817.77
"market for electricity, high voltage",CA-QC,CAN,93, slanted-roof , single-Si, laminated, integrated, on roof,817.77
"market for electricity, high voltage",CA-QC,CAN,93, slanted-roof , single-Si, panel, mounted, on roof,817.77
"market for electricity, high voltage",US-MRO,USA,156, flat-roof , multi-Si, on roof,,,1241.05
"market for electricity, high voltage",US-MRO,USA,156, flat-roof , single-Si, on roof,,,1241.05
"market for electricity, high voltage",US-MRO,USA,570, open ground , CIS, on open ground,,,1484.79
"market for electricity, high voltage",US-MRO,USA,570, open ground , CdTe, on open ground,,,1521.52
"market for electricity, high voltage",US-MRO,USA,570, open ground , micro-Si, on open ground,,,1503.08
"market for electricity, high voltage",US-MRO,USA,570, open ground , multi-Si, on open ground,,,1503.08
"market for electricity, high voltage",US-MRO,USA,570, open ground , single-Si, on open ground,,,1503.08
"market for electricity, high voltage",US-MRO,USA,93, slanted-roof , multi-Si, laminated, integrated, on roof,1241.05
"market for electricity, high voltage",US-MRO,USA,93, slanted-roof , multi-Si, panel, mounted, on roof,1241.05
"market for electricity, high voltage",US-MRO,USA,93, slanted-roof , single-Si, laminated, integrated, on roof,1241.05
"market for electricity, high voltage",US-MRO,USA,93, slanted-roof , single-Si, panel, mounted, on roof,1241.05
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , CIS, laminated, integrated, on roof,1303.04
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , CdTe, panel, mounted, on roof,1427.79
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , micro-Si, laminated, integrated, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , micro-Si, panel, mounted, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, facade , multi-Si, laminated, integrated, at building,466.9
"market for electricity, low voltage",VN,SEAS,3, facade , multi-Si, panel, mounted, at building,466.9
"market for electricity, low voltage",VN,SEAS,3, facade , single-Si, laminated, integrated, at building,466.9
"market for electricity, low voltage",VN,SEAS,3, facade , single-Si, panel, mounted, at building,466.9
"market for electricity, low voltage",VN,SEAS,3, flat-roof , multi-Si, on roof,,,1279.36
"market for electricity, low voltage",VN,SEAS,3, flat-roof , single-Si, on roof,,,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , CIS, panel, mounted, on roof,1303.04
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , CdTe, laminated, integrated, on roof,1427.79
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , multi-Si, laminated, integrated, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , multi-Si, panel, mounted, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , single-Si, laminated, integrated, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , single-Si, panel, mounted, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , CIS, laminated, integrated, on roof,1303.04
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , CdTe, panel, mounted, on roof,1427.79
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , micro-Si, laminated, integrated, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , micro-Si, panel, mounted, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, facade , multi-Si, laminated, integrated, at building,466.9
"market for electricity, low voltage",VN,SEAS,3, facade , multi-Si, panel, mounted, at building,466.9
"market for electricity, low voltage",VN,SEAS,3, facade , single-Si, laminated, integrated, at building,466.9
"market for electricity, low voltage",VN,SEAS,3, facade , single-Si, panel, mounted, at building,466.9
"market for electricity, low voltage",VN,SEAS,3, flat-roof , multi-Si, on roof,,,1279.36
"market for electricity, low voltage",VN,SEAS,3, flat-roof , single-Si, on roof,,,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , CIS, panel, mounted, on roof,1303.04
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , CdTe, laminated, integrated, on roof,1427.79
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , multi-Si, laminated, integrated, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , multi-Si, panel, mounted, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , single-Si, laminated, integrated, on roof,1279.36
"market for electricity, low voltage",VN,SEAS,3, slanted-roof , single-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",PT,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",PT,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",PT,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",PT,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",PT,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",PT,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",PT,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",PT,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",PT,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",PT,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",PT,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",PT,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",PT,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",PT,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",PT,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",PT,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",PT,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",PT,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",PT,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",PT,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",PT,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
